3,4,27,2,4,3,14,3,2,2,4,3,2,2,4
1,15,10,4,5,6,1,5,9,4,5,42,2,2,18
5,4,3,41,4,3,42,2,42,10,4,1,3,2,6
3,42,8,1,5,8,5,2,10,9,6,1,5,2,4
5,6,5,42,2,41,2,2,2,6,3,6,3,4,1
3,9,4,5,4,5,2,2,9,2,42,9,16,1,1
1,1,17,4,5,2,2,2,18,3,8,1,3,42,6
1,1,1,5,2,4,3,2,41,6,5,42,6,5,4
1,1,5,4,3,43,41,2,10,2,4,1,3,2,6
5,42,4,1,1,5,6,3,2,4,5,41,6,3,4
3,6,1,5,41,4,3,8,3,42,2,10,2,6,1
5,2,42,4,5,41,6,5,41,10,2,2,4,3,6
3,2,10,42,9,10,2,2,6,3,2,4,5,41,4
7,2,2,6,1,3,2,2,2,41,4,1,13,8,1
5,2,2,2,6,5,2,2,34,5,6,5,6,5,6
